komentar,analisis
tuju video bang ferry initambang nikel mana aja raja ampat cuman satutolol banget bikin ide bikin tambang,"1. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan Alam; Alasan: Komentar menunjukkan kekecewaan dan kritis terhadap keadaan Raja Ampat, yang terlihat rusak dan membutuhkan perhatian.

2. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan Alam; Alasan: Komentar menyimpulkan bahwa Bahlil seharusnya melakukan perbaikan di Raja Ampat, menunjukkan kekecewaan terhadap kondisi saat ini.

3. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan Alam; Alasan: Komentar mengkritik dan menganggap pengguna Raja Ampat sebagai ""tolol"" (stupid) untuk mereka yang mereka kira mencetus kerusakan alam di lokasi tersebut.

4. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan Alam; Alasan: Komentar menyampaikan kebimbangan dan kekecewaan terhadap keadaan negara, yang diimpikan seperti hancur, sangat menunjukkan kerusakan alam yang serius.

5. Sentimen: Tidak Relevan; Indikasi Buzzer: Tidak; Topik: Konten Settingan; Alasan: Komentar menyentuh perintah dan kelompok sosial, tidak terkait langsung dengan kerusakan alam di Raja Ampat.

6. Sentimen: Positif; Indikasi Buzzer: Tidak; Topik: Kerusakan Alam; Alasan: Komentar menyentuh cinta terhadap tanah air dan dorongan untuk melindungi alam sekitar, menunjukkan kepedulian positif.

7. Sentimen: Tidak Jedi; Indikasi Buzzer: T"
merinding gw manusia rakus hancur bumi,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan atau kekecewaan terhadap situasi, tetapi tidak menyebut langkah pelestarian alam. Buzzer: Tidak. Topik: kerusakan alam.

2. Komentar 2: Sentimen Negatif. Alasan: Komentar ini menegaskan kesalahan atau rakusan dalam perusahan terhadap alam, menunjukkan kepedulian terhadap kerusakan. Buzzer: Tidak. Topik: kerusakan alam.

3. Komentar 3: Sentimen Negatif. Alasan: Komentar ini mengkritik perusakan alam dan korupsi, menunjukkan kepedulian terhadap isu sosial yang berkaitan dengan kerusakan alam. Buzzer: Tidak. Topik: kerusakan alam / isu sosial.

4. Komentar 4: Sentimen Positif. Alasan: Komentar ini menunjukkan kepedulian dan mendorong video yang membahas kerusakan alam. Buzzer: Tidak. Topik: kerusakan alam.

5. Komentar 5: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan atau kekecewaan terhadap penyebaran fitnah dan perusakan alam tanpa langkah pelestarian. Buzzer: Tidak. Topik: kerusakan alam.

6. Komentar 6: Sentimen Negatif. Alasan: Komentar ini mengungkap frustrasi atas keterusan kerusakan alam dan kekurangan langkah pelestarian. Buzzer: Tidak. Topik: kerusakan alam.

7. Komentar 7: Sentimen Tidak Jelas. Alasan: Komentar ini tidak menunjukkan sentimen yang jelas, buat tidak relevan dengan topik kerusakan alam. Bu"
liat pulau sulawesi penuh tambang industry nikel,"1. Komentar 1: Sentimen Negatif. Ini mengungkap ketidak peduliannya terhadap kerusakan alam, dengan menggunakan kata ""batil anak beranaksemua alam rusak"". Indikasi buzzer: Tidak, karena komentar tidak langsung menyebut kerusakan alam secara eksplicit. Topik: Kerusakan alam.

2. Komentar 2: Sentimen Tidak Teridentik. Komentar ini berkembang mengenai pembubaran Indonesia tanpa menyebut kerusakan alam. Indikasi buzzer: Tidak, karena komentar tidak langsung berkaitan dengan kerusakan alam. Topik: Isu sosial.

3. Komentar 3: Sentimen Tidak Teridentik. Komentar ini berkembang mengenai kehidupan Jokowi tanpa menyebut kerusakan alam. Indikasi buzzer: Tidak, karena komentar tidak langsung berkaitan dengan kerusakan alam. Topik: Konten settingan (kehidupan individu terkait).

4. Komentar 4: Sentimen Negatif. Komentar ini mengkritik orang yang tidak peduli terhadap masalah kerusakan alam. Indikasi buzzer: Tidak, karena komentar tidak menggunakan kata-kata negatif yang khas atau terstruktur. Topik: Kerusakan alam.

5. Komentar 5: Sentimen Tidak Teridentik. Komentar ini membahas kesulitan dan kekurangan ilmu pengetahuan dalam isu tambang di Raja Ampat tanpa menyebut sentimen positif atau negatif terhadap kerusakan alam. Indikasi buzzer: Tidak, karena komentar tidak menunjukkan sentimen yang kuat. Topik: Kerusakan alam (implikasi).

6. Komentar 6: Sentimen Tidak Teridentik."
bilang nikmat hasil nikel perintah salah dpr diam aja parpol diam aja elit politik diam ribut rakyat remah remah gak kena makan bareng ya makan pura ribut media belakang salam tempel,"1. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: kerusakan alam/isu sosial/konten settingan/tidak relevan; Alasan: Komentar ini menunjukkan kecewa dan kritis terhadap pelaku korupsi dan pengembangan yang tidak bertanggungjawab, yang tidak langsung terkait dengan kerusakan alam di Raja Ampat, tetapi merefleksikan isu sosial yang berlebihan.

2. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: isu sosial/konten settingan/tidak relevan; Alasan: Komentar ini mengungkapkan frustrasi dan kritikan terhadap keterlibatan korupsi dan oligarki dalam keadaan negara, tanpa mengutuskan sentimen langsung terhadap kerusakan alam di Raja Ampat.

3. Sentimen: Neutral/Tidak Tentu; Indikasi Buzzer: Tidak; Topik: kerusakan alam/isu sosial/konten settingan/tidak relevan; Alasan: Komentar ini berkonteks spiritual dan harapan untuk kesehatan dan keamanan, tanpa mengusulkan sentimen positif atau negatif terhadap kerusakan alam.

4. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: isu sosial/konten settingan/tidak relevan; Alasan: Komentar ini menunjukkan kesulitan dan kekecewaan terhadap keadaan pemerintahan saat ini, tanpa mengutus sentimen langsung terhadap kerusakan alam.

5. Sentimen: Neutral; Indikasi Buzzer: Tidak; Topik: kerusakan alam/isu sosial/konten settingan/tidak relevan; Alasan: Komentar ini menyampaikan informasi dan meminta penerangan, tanpa menunjukkan sent"
pesan sembunyi jersey cccp logo uni soviet,"1. Sentimen: Negatif; Alasan: Komentar menunjukkan kekecewaan dan kritis terhadap pengelolaan alam di Raja Ampat, menyebut bahwa negara tidak dapat mengelola sumber daya alam dengan baik. Indikasi buzzer: Ya (karena kritik yang kasar).

2. Sentimen: Negatif; Alasan: Komentar memburukkan Belanda dengan menggunakan kata ""ngeruk rempah perintah,"" yang menunjukkan kritikan dan kekecewaan. Indikasi buzzer: Ya (karena kritik dan dendam).

3. Sentimen: Netral; Alasan: Komentar hanya mengungkapkan keberanian dan kebetulan konten video tanpa menunjukkan sentimen positif atau negatif terhadap kerusakan alam. Indikasi buzzer: Tidak.

4. Sentimen: Negatif; Alasan: Komentar mengkritik menteri yang dianggap tidak peduli terhadap kerusakan alam dan menyalahkan mafia Indonesia. Indikasi buzzer: Ya (karena kritik dan dendam).

5. Sentimen: Positif; Alasan: Komentar menunjukkan keinginan untuk perubahan drastis atau ""revolusi"" untuk memelihara Raja Ampat, menunjukkan kepedulian terhadap kerusakan alam. Indikasi buzzer: Ya (karena dorongan untuk perubahan positif).

6. Sentimen: Positif; Alasan: Komentar mendorong untuk debat dan analisis berdatas untuk mengembangkan solusi terhadap kerusakan alam, menunjukkan kepedulian dan ingin memahami isu. Indikasi buzzer: Ya (karena dorongan untuk analisis dan solusi).

7. Sentimen: Positif; Alasan: Komentar mendorong untuk melindungi Raja Ampat"
mahluk jaman rusak lingkung perintah indonesia,"1. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar 1 menyalahkan pelestarian alam, terlihat tidak peduli terhadap kerusakan alam Raja Ampat, dengan fokus pada isu korupsi dan kebodohan masyarakat.

2. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar 2 dan 8 berfokus pada masalah ijazah palsu dan kualitas ijazah, tanpa mengutuskan kritikan direkt ke kerusakan alam, tetapi menunjukkan ketergantungan pada sistem yang tidak berkelanjutan.

3. Sentimen: Tidak relevan. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar 3 menyebut perusahaan PT Antam, yang tidak terkait dengan kerusakan alam Raja Ampat.

4. Sentimen: Positif. Indikasi buzzer: Tidak. Topik: isu sosial / konten settingan. Alasan: Komentar 4 menyampaikan terima kasih atas informasi, tanpa membahas kerusakan alam.

5. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar 5 menunjukkan kepedulian dan kritik terhadap kerusakan tambang, menyalahkan entitas yang tidak peduli dengan dampak negatif terhadap alam Raja Ampat.

6. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar 6 menyimpulkan perbandingan uang dengan kekayaan alam, menunjukkan kepedulan terhadap kerusakan alam dan eksploitasi sumber daya alam.

7. Sentimen: Negatif."
sakit dengar kerugiankerugian alami indonesia ntah sebab korupsi rusa alam combo sakit ga gerak,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan kritik terhadap anggota dewan yang dianggap tidak peduli dengan masalah uang dan lingkungan.

2. Komentar 2: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekeliruan dan kekurangan peduli terhadap kerusakan alam, dengan kritik kepada orang yang rusak lingkungan.

3. Komentar 3: Sentimen Tidak Relevan. Alasan: Komentar ini berkonsentrasi pada kecelakaan ferry dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen Negatif. Alasan: Komentar ini mengkritik pembangunan infrastruktur (jalan tol) yang dianggap merusak lingkungan tanpa memperhatikan implikasi logis atau ekonomis positif.

5. Komentar 5: Sentimen Negatif. Alasan: Komentar ini menggunakan bahasa kritik dan bertujuan untuk mengkritik kondisi Indonesia, menganggapnya sebagai ""kurang baik"" dan ""setan"" tanpa menawarkan solusi.

6. Komentar 6: Sentimen Negatif. Alasan: Komentar ini menunjukkan kritik terhadap kebijaksanaan individu dan kegagalan memahami implikasi kerusakan alam di Indonesia.

7. Komentar 7: Sentimen Tidak Relevan. Alasan: Komentar ini bertema humoristis mengenai pakaian dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

8. Komentar 8: Sentimen Tidak Mendukung / Netral. Alasan: Komentar ini hanya mengingatkan keuntungan dari feri Indonesia tanpa mengusulkan apa pun tentang kerusakan alam.

9. Komentar"
bejat moral bodoh intelektual,"1. Komentar 1: Sentimen Negatif. Ini mengungkap kekecewaan komentator atas situasi tambang nikel di Raja Ampat, menunjukkan kesalahan atau kerusakan alam. Indikasi buzzer: Tidak. Topik: kerusakan alam.

2. Komentar 2: Sentimen Negatif. Komentator menyimpulkan bahwa masyarakat harus lebih peduli dengan isu-isu sosial, seperti kerusakan alam, berdasarkan konteks tambang nikel. Indikasi buzzer: Tidak. Topik: isu sosial.

3. Komentar 3: Sentimen Negatif. Komentator menunjukkan kritik terhadap konglomerat dan ekonomi yang mengorbankan lingkungan, yang relevan dengan kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak. Topik: kerusakan alam.

4. Komentar 4: Sentimen Negatif. Komentator menyangkal kepedulian masyarakat atas kerusakan alam dan menekankan pesimisme, yang mengindikasikan tidak peduli terhadap masalah ini. Indikasi buzzer: Tidak. Topik: kerusakan alam.

5. Komentar 5: Sentimen Negatif. Komentator berkomplikasi antara kerusakan alam dan komunitas lokal, menunjukkan kekecewaan dan kritikan. Indikasi buzzer: Tidak. Topik: kerusakan alam.

6. Komentar 6: Sentimen Netral. Komentator hanya mengkonfirmasi keterbukaan video, tidak menyentuh isu-isu alam. Indikasi buzzer: Tidak. Topik: tidak relevan.

7. Komentar 7: Sentimen Negatif. Komentator menyampaikan pandangan politik yang ingin merdeka Papua"
ngarep sih sm presiden yg terang bisnis mandek menteri tesis aja palsu oke gas,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini menyarankan mengganti tema video dengan politisi, tidak berkaitan dengan kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menggunakan kata ""tuhan azab"" sebagai kritik terhadap situasi yang dijelaskan dalam video, menunjukkan kekecewaan terhadap kerusakan alam.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ""si bahlul"" menunjukkan kritikan terhadap orang yang mungkin tidak peduli atau berperan dalam kerusakan alam.

4. Komentar 4: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini mengkritik intelligensi orang-orang yang menyebabkan kerusakan alam dan menyimpang dari tanggungjawab mereka.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menyampaikan kritisan terhadap pemeliharaan ilmu pengetahuan dan ijazah, yang bisa disimpulkan sebagai kesulitan dalam mengatasi masalah alam.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam / isu sosial. Alasan: Komentar ini menunjukkan kekecewaan dengan cara media sosial dan pidanan politik yang mungkin berkontribusi pada kerusakan alam dan isu s"
tambang mana kita raja ampat kalo perintah otak sih mikir,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengkritik korupsi dan kecurangan di Indonesia tanpa mengutuskan sesuatu terhadap kerusakan alam.

2. Komentar 2: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengungkap rasa kekhianat dan kehilangan patriotisme, tanpa secara langsung membahas kerusakan alam.

3. Komentar 3: Sentimen Tidak Relevan. Indikasi Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini berkaitan dengan kebosan dan kehilangan minat saat melihat video, tidak berkaitan dengan isu kerusakan alam.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini mengkritik kronisme dan manipulasi citra dalam masyarakat, tanpa secara langsung mengutuskan sesuatu terhadap kerusakan alam.

5. Komentar 5: Sentimen Tidak Relevan. Indikasi Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini ""paten"" (paten/patent) tidak berkaitan dengan isu kerusakan alam atau Raja Ampat.

6. Komentar 6: Sentimen Positif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini meminta henti cabut izin yang mungkin berkaitan dengan proyek pembangunan yang mencemarkan alam, menunjukkan kepedulian terhadap pelestarian alam.

7. Komentar 7: Sentimen Negatif. In"
inti temen the deal is for themselves untung negara efek negara bodo hidup hantu utang utang milyaran utang duit utang budi jahat otak hati kontaminasi uang yg hukum abu sampe tagih uang haram sorry gw gkbs berfikir positif suruh pake logika klo ngomongin ulah jabat tamak liat sulawesi yg udah rusak aja sedih inget gunung kampung halaman yg udah keruk puluh yg dg cepat slow eh skrg bupati joran ngeruknya,"1. Komentar 1: Sentimen Negatif. Ini sebuah perintah kecintaan (astagfirullah) yang tidak berkaitan dengan isu kerusakan alam. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini bukan komentar terhadap kerusakan alam di Raja Ampat, tetapi sebuah perintah kecintaan.

2. Komentar 2: Sentimen Negatif. Komentar ini menyalahkan peraturan sebagai penyebab negara rusak, yang dapat diinterpretasikan sebagai kekesalahan atau tidak peduli terhadap masalah alam. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini berfokus pada kebijakan pemerintah dan perasaan kekecewaan, bukan langganan langsung terhadap kerusakan alam.

3. Komentar 3: Sentimen Negatif. Komentar ini mengkritik bangsa Indonesia sebagai khianat, yang dapat diinterpretasikan sebagai kekesalahan atau tidak peduli terhadap kerusakan alam. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini mengungkap perasaan kekecewaan dan kekhawatiran terhadap masalah alam di Raja Ampat.

4. Komentar 4: Sentimen Netral. Komentar ini mengusulkan perjalanan seseorang ke Raja Ampat dan perubahan dramatis dalam industri wisatawan. Tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini berfokus pada pengalaman pribadi dan perubahan industri wisatawan, bukan langganan langsung terhadap kerusakan alam.

5."
orang kaya mas ferry influencer menteri,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan alam. Alasan: Komentar mengkritik perusakan alam dan menguntungkan koruptor, menunjukkan kekecewaan terhadap situasi.

2. Komentar 2: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Isu sosial. Alasan: Komentar mengkritik korupsi dan kekhianat tanah air, menunjukkan kekecewaan sosial.

3. Komentar 3: Sentimen Tidak Terpulang. Indikasi Buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar tidak berkaitan dengan kerusakan alam, hanya menyampaikan kritik terhadap menteri pariwisata.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Isu sosial. Alasan: Komentar mengkritik korupsi dan kemiskinan, menunjukkan kekecewaan sosial.

5. Komentar 5: Sentimen Tidak Terpulang. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar tidak berkaitan dengan kerusakan alam, hanya menggunakan bahasa yang agresif tanpa konteks.

6. Komentar 6: Sentimen Tidak Terpulang. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar terlalu singkat dan tidak berkaitan dengan konten video mengenai kerusakan alam.

7. Komentar 7: Sentimen Tidak Terpulang. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar adalah nama yang disebut tanpa konteks yang berkaitan dengan kerusakan alam.
"
waw gua udah ga paham salah kalo riset pt gag udah ijin taun an kalo liat kacamata tata ruang salah perintah motif pasti riset dalam tulis rtrw kabupaten provinsi kawasan kawasan hutan lindung tapiiii tulis rtrw kabupaten raja ampat boleh konversi lahan gitu waw gua pro kontra riset dalam sudut pandang,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial/konten settingan. Alasan: Komentar ini menggunakan kata-kata sara, tidak relevan dengan kerusakan alam Raja Ampat, dan menunjukkan kekurangan peduli sosial.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial/konten settingan. Alasan: Komentar ini menyalahkan pemerintah dan menangkap isu ekonomi negara tanpa membahas kerusakan alam.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial/konten settingan. Alasan: Komentar ini mengungkitkan tantangan antara etnik dan menjadi komentar yang tidak relevan dengan kerusakan alam.

4. Komentar 4: Sentimen Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menyokong pelestarian alam dengan menyarankan fokus pada observasi wisata yang tidak rusak lingkungan.

5. Komentar 5: Sentimen Tidak Teridentifikasi. Indikasi buzzer: Ya. Topik: konten settingan. Alasan: Komentar ini menggunakan nama perusahaan tanpa konteks yang jelas terkait kerusakan alam.

6. Komentar 6: Sentimen Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kepedulian terhadap video dan menghargai informasi yang diberikan.

7. Komentar 7: Sentimen Tidak Teridentifikasi. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini menyangkal kepedulian at"
